case_id,targets_expected,targets_found,coverage_pct,raw_aria_chars,compact_chars,reduction_pct,estimated_tokens,capture_latency_ms,source,context_budget_pass,golden_match
T01-C0,3,3,100.00,2352,2087,11.27,522,13,aria_snapshot,PASS,PASS
T01-C1,3,3,100.00,2461,2196,10.77,549,12,aria_snapshot,PASS,PASS
T01-C2,3,3,100.00,2534,2288,9.71,572,12,aria_snapshot,PASS,PASS
T02-C0,3,3,100.00,2510,2281,9.12,571,14,aria_snapshot,PASS,PASS
T02-C1,3,3,100.00,2619,2390,8.74,598,12,aria_snapshot,PASS,PASS
T02-C2,3,3,100.00,2692,2482,7.80,621,12,aria_snapshot,PASS,PASS
T03-C0,3,3,100.00,2037,1824,10.46,456,13,aria_snapshot,PASS,PASS
T03-C1,3,3,100.00,2138,1925,9.96,482,10,aria_snapshot,PASS,PASS
T03-C2,3,3,100.00,2219,2025,8.74,507,100,aria_snapshot,PASS,PASS
T04-C0,3,3,100.00,2354,2125,9.73,532,16,aria_snapshot,PASS,PASS
T04-C1,3,3,100.00,2541,2312,9.01,578,18,aria_snapshot,PASS,PASS
T04-C2,3,3,100.00,2536,2327,8.24,582,44,aria_snapshot,PASS,PASS
T05-C0,3,3,100.00,2086,1958,6.14,490,82,aria_snapshot,PASS,PASS
T05-C1,3,3,100.00,2183,2055,5.86,514,185,aria_snapshot,PASS,PASS
T05-C2,3,3,100.00,2268,2160,4.76,540,129,aria_snapshot,PASS,PASS
T06-C0,3,3,100.00,1900,1688,11.16,422,25,aria_snapshot,PASS,PASS
T06-C1,3,3,100.00,1997,1785,10.62,447,74,aria_snapshot,PASS,PASS
T06-C2,3,3,100.00,2082,1890,9.22,473,55,aria_snapshot,PASS,PASS
T07-C0,3,3,100.00,2336,2024,13.36,506,20,aria_snapshot,PASS,PASS
T07-C1,3,3,100.00,2433,2121,12.82,531,140,aria_snapshot,PASS,PASS
T07-C2,3,3,100.00,2518,2226,11.60,557,16,aria_snapshot,PASS,PASS
T08-C0,3,3,100.00,2033,1847,9.15,462,33,aria_snapshot,PASS,PASS
T08-C1,3,3,100.00,2130,1944,8.73,486,29,aria_snapshot,PASS,PASS
T08-C2,3,3,100.00,2215,2049,7.49,513,31,aria_snapshot,PASS,PASS
T09-C0,3,3,100.00,2044,1822,10.86,456,18,aria_snapshot,PASS,PASS
T09-C1,3,3,100.00,2141,1919,10.37,480,22,aria_snapshot,PASS,PASS
T09-C2,3,3,100.00,2226,2024,9.07,506,17,aria_snapshot,PASS,PASS
T10-C0,3,3,100.00,1872,1636,12.61,409,19,aria_snapshot,PASS,PASS
T10-C1,3,3,100.00,1969,1733,11.99,434,29,aria_snapshot,PASS,PASS
T10-C2,3,3,100.00,2054,1838,10.52,460,36,aria_snapshot,PASS,PASS
T11-C0,3,3,100.00,1890,1663,12.01,416,16,aria_snapshot,PASS,PASS
T11-C1,3,3,100.00,1987,1760,11.42,440,101,aria_snapshot,PASS,PASS
T11-C2,3,3,100.00,2072,1865,9.99,467,33,aria_snapshot,PASS,PASS
T12-C0,3,3,100.00,1926,1651,14.28,413,19,aria_snapshot,PASS,PASS
T12-C1,3,3,100.00,2023,1748,13.59,437,14,aria_snapshot,PASS,PASS
T12-C2,3,3,100.00,2108,1853,12.10,464,26,aria_snapshot,PASS,PASS
