case_id,repeat,primitive,success,error_code,duration_ms,observation_version,target_role,target_name,locator_summary
T01-C0,1,focus,True,NONE,32,1,button,Simpan pilihan dan buka review,"role=button name=""Simpan pilihan dan buka review"" states={}"
T01-C0,1,scroll,True,NONE,67,1,button,Simpan pilihan dan buka review,"role=button name=""Simpan pilihan dan buka review"" states={""focused"": true}"
T01-C0,1,wait,True,NONE,3,1,,,
T01-C0,1,activate,True,NONE,45,1,button,Simpan pilihan dan buka review,"role=button name=""Simpan pilihan dan buka review"" states={""focused"": true}"
T01-C1,1,focus,True,NONE,39,1,button,Simpan pilihan dan buka review,"role=button name=""Simpan pilihan dan buka review"" states={}"
T01-C1,1,scroll,True,NONE,57,1,button,Simpan pilihan dan buka review,"role=button name=""Simpan pilihan dan buka review"" states={""focused"": true}"
T01-C1,1,wait,True,NONE,2,1,,,
T01-C1,1,activate,True,NONE,35,1,button,Simpan pilihan dan buka review,"role=button name=""Simpan pilihan dan buka review"" states={""focused"": true}"
T01-C2,1,focus,True,NONE,24,1,button,Simpan pilihan dan buka review,"role=button name=""Simpan pilihan dan buka review"" states={}"
T01-C2,1,scroll,True,NONE,42,1,button,Simpan pilihan dan buka review,"role=button name=""Simpan pilihan dan buka review"" states={""focused"": true}"
T01-C2,1,wait,True,NONE,2,1,,,
T01-C2,1,activate,True,NONE,61,1,button,Simpan pilihan dan buka review,"role=button name=""Simpan pilihan dan buka review"" states={""focused"": true}"
T02-C0,1,focus,True,NONE,23,1,button,Terapkan filter dan buka review,"role=button name=""Terapkan filter dan buka review"" states={}"
T02-C0,1,scroll,True,NONE,48,1,button,Terapkan filter dan buka review,"role=button name=""Terapkan filter dan buka review"" states={""focused"": true}"
T02-C0,1,wait,True,NONE,2,1,,,
T02-C0,1,activate,True,NONE,31,1,button,Terapkan filter dan buka review,"role=button name=""Terapkan filter dan buka review"" states={""focused"": true}"
T02-C1,1,focus,True,NONE,25,1,button,Terapkan filter dan buka review,"role=button name=""Terapkan filter dan buka review"" states={}"
T02-C1,1,scroll,True,NONE,41,1,button,Terapkan filter dan buka review,"role=button name=""Terapkan filter dan buka review"" states={""focused"": true}"
T02-C1,1,wait,True,NONE,2,1,,,
T02-C1,1,activate,True,NONE,34,1,button,Terapkan filter dan buka review,"role=button name=""Terapkan filter dan buka review"" states={""focused"": true}"
T02-C2,1,focus,True,NONE,33,1,button,Terapkan filter dan buka review,"role=button name=""Terapkan filter dan buka review"" states={}"
T02-C2,1,scroll,True,NONE,43,1,button,Terapkan filter dan buka review,"role=button name=""Terapkan filter dan buka review"" states={""focused"": true}"
T02-C2,1,wait,True,NONE,2,1,,,
T02-C2,1,activate,True,NONE,55,1,button,Terapkan filter dan buka review,"role=button name=""Terapkan filter dan buka review"" states={""focused"": true}"
T03-C0,1,focus,True,NONE,31,1,button,Simpan data dummy dan lanjut ke review,"role=button name=""Simpan data dummy dan lanjut ke review"" states={}"
T03-C0,1,scroll,True,NONE,48,1,button,Simpan data dummy dan lanjut ke review,"role=button name=""Simpan data dummy dan lanjut ke review"" states={""focused"": true}"
T03-C0,1,wait,True,NONE,2,1,,,
T03-C0,1,activate,True,NONE,37,1,button,Simpan data dummy dan lanjut ke review,"role=button name=""Simpan data dummy dan lanjut ke review"" states={""focused"": true}"
T03-C1,1,focus,True,NONE,18,1,button,Simpan data dummy dan lanjut ke review,"role=button name=""Simpan data dummy dan lanjut ke review"" states={}"
T03-C1,1,scroll,True,NONE,44,1,button,Simpan data dummy dan lanjut ke review,"role=button name=""Simpan data dummy dan lanjut ke review"" states={""focused"": true}"
T03-C1,1,wait,True,NONE,2,1,,,
T03-C1,1,activate,True,NONE,27,1,button,Simpan data dummy dan lanjut ke review,"role=button name=""Simpan data dummy dan lanjut ke review"" states={""focused"": true}"
T03-C2,1,focus,True,NONE,24,1,button,Simpan data dummy dan lanjut ke review,"role=button name=""Simpan data dummy dan lanjut ke review"" states={}"
T03-C2,1,scroll,True,NONE,56,1,button,Simpan data dummy dan lanjut ke review,"role=button name=""Simpan data dummy dan lanjut ke review"" states={""focused"": true}"
T03-C2,1,wait,True,NONE,2,1,,,
T03-C2,1,activate,True,NONE,27,1,button,Simpan data dummy dan lanjut ke review,"role=button name=""Simpan data dummy dan lanjut ke review"" states={""focused"": true}"
